dataset,model,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,known_only,0.87341926,0.98463878,0.87624837,0.98437570,0.00000000,0.00000000,0.00000000,0.83207055,0.73020698,0.77729621,0.85514824
BoT_IoT,RFF_LIM_NFST,with_novel_class,0.88244717,0.98463878,0.88554031,0.98437570,0.63212100,0.93200000,0.74470158,0.92122100,0.88554031,0.89172633,0.86385890
