dataset,model,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,known_only,0.98294363,0.98494389,0.98256576,0.98464211,0.00000000,0.00000000,0.00000000,0.82503759,0.81880480,0.82184230,0.97845240
BoT_IoT,RFF_LIM_NFST,with_novel_class,0.83643088,0.98494389,0.85967176,0.98464211,0.75229818,0.24520179,0.34310233,0.84433038,0.85967176,0.81275178,0.82306637
