dataset,model,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,known_only,0.98378189,0.98413079,0.98402723,0.98431890,0.00000000,0.00000000,0.00000000,0.85852800,0.85836466,0.85832530,0.97946735
BoT_IoT,RFF_LIM_NFST,with_novel_class,0.79971917,0.98413079,0.83067261,0.98431890,0.48252707,0.06389948,0.10021764,0.77164344,0.83067261,0.75444075,0.78821661
