dataset,model,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,known_only,0.98696040,0.98824056,0.98742493,0.98865282,0.00000000,0.00000000,0.00000000,0.82628171,0.82285411,0.82450079,0.98351828
BoT_IoT,RFF_LIM_NFST,with_novel_class,0.81304335,0.98824056,0.84296553,0.98865282,0.61725980,0.12066854,0.18569075,0.80480252,0.84296553,0.77643765,0.80133822
