dataset,model,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,known_only,0.97177649,0.97200211,0.96961720,0.96986278,0.00000000,0.00000000,0.00000000,0.88647904,0.88881729,0.88739006,0.96423291
BoT_IoT,RFF_LIM_NFST,with_novel_class,0.78593700,0.97200211,0.81376147,0.96986278,0.54448721,0.03448281,0.05697004,0.75579837,0.81376147,0.72949849,0.76880808
