dataset,model,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,known_only,0.96349194,0.98486657,0.96526862,0.98475512,0.00000000,0.00000000,0.00000000,0.82847724,0.80439052,0.81610040,0.95498799
BoT_IoT,RFF_LIM_NFST,with_novel_class,0.89790725,0.98486657,0.91677374,0.98475512,0.75663598,0.67429933,0.68354830,0.90067761,0.91677374,0.89462024,0.88691235
