dataset,model,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,known_only,0.91034342,0.98209434,0.91217865,0.98201734,0.00000000,0.00000000,0.00000000,0.82836685,0.76014888,0.79231551,0.89406308
BoT_IoT,RFF_LIM_NFST,with_novel_class,0.89494281,0.98209434,0.90091520,0.98201734,0.69332099,0.84459791,0.75410668,0.90903209,0.90091520,0.89672875,0.87557915
